sample	samples	TP53 (average)
TCGA-AJ-A2QM-01	TCGA-AJ-A2QM-01	1.556
TCGA-61-2012-01	TCGA-61-2012-01	1.369
TCGA-29-1702-01	TCGA-29-1702-01	1.311
TCGA-AB-2938-03	TCGA-AB-2938-03	0.9489000000000001
TCGA-61-2018-01	TCGA-61-2018-01	0.9154
TCGA-N8-A4PI-01	TCGA-N8-A4PI-01	0.7776
TCGA-B9-A5W9-01	TCGA-B9-A5W9-01	0.7586
TCGA-PC-A5DO-01	TCGA-PC-A5DO-01	0.7582
TCGA-WR-A838-01	TCGA-WR-A838-01	0.7311
TCGA-D6-A6EP-01	TCGA-D6-A6EP-01	0.7229
TCGA-31-1953-01	TCGA-31-1953-01	0.7
TCGA-55-8094-01	TCGA-55-8094-01	0.666
TCGA-CN-6997-01	TCGA-CN-6997-01	0.6599
TCGA-KV-A74V-01	TCGA-KV-A74V-01	0.6540999999999999
TCGA-D1-A3DH-01	TCGA-D1-A3DH-01	0.6521
TCGA-GL-A59T-01	TCGA-GL-A59T-01	0.6174
TCGA-70-6723-01	TCGA-70-6723-01	0.6117
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	0.6117
TCGA-ER-A2ND-06	TCGA-ER-A2ND-06	0.6106
TCGA-G7-6790-01	TCGA-G7-6790-01	0.6087
TCGA-24-1852-02	TCGA-24-1852-02	0.6036
TCGA-LN-A49R-01	TCGA-LN-A49R-01	0.6031
TCGA-16-0849-01	TCGA-16-0849-01	0.602
TCGA-GV-A3JZ-01	TCGA-GV-A3JZ-01	0.6014
TCGA-CN-A63U-01	TCGA-CN-A63U-01	0.6013
TCGA-B0-4696-01	TCGA-B0-4696-01	0.5966
TCGA-DX-A6YQ-01	TCGA-DX-A6YQ-01	0.5926
TCGA-24-1564-01	TCGA-24-1564-01	0.579
TCGA-G7-6795-01	TCGA-G7-6795-01	0.5589
TCGA-DX-A1KY-01	TCGA-DX-A1KY-01	0.5587
TCGA-24-1852-01	TCGA-24-1852-01	0.5556
TCGA-F7-A61W-01	TCGA-F7-A61W-01	0.5458
TCGA-D3-A5GU-06	TCGA-D3-A5GU-06	0.5412
TCGA-BQ-5891-01	TCGA-BQ-5891-01	0.5285
TCGA-BQ-7046-01	TCGA-BQ-7046-01	0.5252
TCGA-DX-A6B8-01	TCGA-DX-A6B8-01	0.5183
