sample	samples	TP53
TCGA-29-1702-01	TCGA-29-1702-01	13.89
TCGA-AJ-A2QM-01	TCGA-AJ-A2QM-01	13.73
TCGA-61-2012-01	TCGA-61-2012-01	13.21
TCGA-B5-A1MU-01	TCGA-B5-A1MU-01	13.17
TCGA-20-1684-01	TCGA-20-1684-01	13.04
TCGA-24-1428-01	TCGA-24-1428-01	13.01
TCGA-D1-A3DH-01	TCGA-D1-A3DH-01	13
TCGA-10-0928-01	TCGA-10-0928-01	12.97
TCGA-24-2281-01	TCGA-24-2281-01	12.95
TCGA-34-5929-01	TCGA-34-5929-01	12.94
TCGA-61-1740-01	TCGA-61-1740-01	12.9
TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01	12.86
TCGA-85-7950-01	TCGA-85-7950-01	12.83
TCGA-LN-A49V-01	TCGA-LN-A49V-01	12.81
TCGA-DM-A28M-01	TCGA-DM-A28M-01	12.79
TCGA-ZB-A966-01	TCGA-ZB-A966-01	12.78
TCGA-EO-A3B1-01	TCGA-EO-A3B1-01	12.75
TCGA-FI-A2D6-01	TCGA-FI-A2D6-01	12.74
TCGA-09-1670-01	TCGA-09-1670-01	12.73
TCGA-25-2393-01	TCGA-25-2393-01	12.73
TCGA-AX-A1CA-01	TCGA-AX-A1CA-01	12.73
TCGA-25-1324-01	TCGA-25-1324-01	12.72
TCGA-AJ-A3EM-01	TCGA-AJ-A3EM-01	12.72
TCGA-AX-A1C4-01	TCGA-AX-A1C4-01	12.71
TCGA-EI-6511-01	TCGA-EI-6511-01	12.71
TCGA-60-2716-01	TCGA-60-2716-01	12.69
TCGA-CI-6623-01	TCGA-CI-6623-01	12.69
TCGA-D1-A0ZS-01	TCGA-D1-A0ZS-01	12.66
TCGA-QK-A6IF-01	TCGA-QK-A6IF-01	12.66
TCGA-33-4587-01	TCGA-33-4587-01	12.64
TCGA-AP-A0LE-01	TCGA-AP-A0LE-01	12.64
TCGA-31-1950-01	TCGA-31-1950-01	12.61
TCGA-AG-3887-01	TCGA-AG-3887-01	12.61
TCGA-AP-A0LF-01	TCGA-AP-A0LF-01	12.61
TCGA-B6-A0WX-01	TCGA-B6-A0WX-01	12.61
TCGA-24-2024-01	TCGA-24-2024-01	12.59
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	12.59
TCGA-A6-2681-01	TCGA-A6-2681-01	12.58
TCGA-CD-8534-01	TCGA-CD-8534-01	12.58
TCGA-D1-A1O0-01	TCGA-D1-A1O0-01	12.58
TCGA-XF-AAML-01	TCGA-XF-AAML-01	12.57
TCGA-23-2077-01	TCGA-23-2077-01	12.56
TCGA-CR-6487-01	TCGA-CR-6487-01	12.56
TCGA-22-5485-01	TCGA-22-5485-01	12.55
TCGA-36-1578-01	TCGA-36-1578-01	12.55
TCGA-D3-A3C6-06	TCGA-D3-A3C6-06	12.55
TCGA-V4-A9EA-01	TCGA-V4-A9EA-01	12.54
TCGA-43-7658-01	TCGA-43-7658-01	12.53
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	12.53
TCGA-AG-3728-01	TCGA-AG-3728-01	12.53
TCGA-D1-A167-01	TCGA-D1-A167-01	12.53
TCGA-N8-A4PL-01	TCGA-N8-A4PL-01	12.52
