sample	samples	chr17:7590695-7590863:-	chr17:7580643-7580745:-	chr17:7579700-7579940:-	chr17:7579312-7579590:-	chr17:7578371-7578811:-	chr17:7577499-7577608:-	chr17:7577019-7577155:-	chr17:7576853-7576926:-	chr17:7576525-7576657:-	chr17:7573927-7574033:-	chr17:7571720-7573008:-	chr17:7565097-7565332:-
TCGA-29-1702-01	TCGA-29-1702-01	7.491	0.6057	7.666	8.675	7.424	8.845	8.71	8.993	1.214	8.846	7.883	0.3656
TCGA-AJ-A2QM-01	TCGA-AJ-A2QM-01	6.605	0.3362	6.6	7.839	6.659	7.876	8.121	8.421	1.316	8.205	8.138	0.1564
TCGA-24-2024-01	TCGA-24-2024-01	6.577	0.5898	6.415	7.239	5.88	7.255	7.172	7.449	1.053	7.29	6.537	0.1508
TCGA-LN-A49V-01	TCGA-LN-A49V-01	6.53	1.401	6.553	7.612	6.477	8.046	8.026	8.285	2.292	7.926	7.092	0.509
TCGA-CG-5722-01	TCGA-CG-5722-01	6.489	0	6.694	7.331	5.782	7.056	7.063	7.15	0.3472	6.875	6.185	0.1571
TCGA-61-2012-01	TCGA-61-2012-01	6.388	0.8	6.684	7.703	6.422	7.753	7.72	7.97	1.196	7.71	6.888	0.1824
TCGA-61-1740-01	TCGA-61-1740-01	6.376	0.8097	6.458	7.355	6.005	7.511	7.493	7.809	1.519	7.656	6.842	0
TCGA-10-0928-01	TCGA-10-0928-01	6.321	0.9729	6.287	7.115	5.826	7.237	7.179	7.41	0.8038	7.222	7.189	0.2977
TCGA-63-7023-01	TCGA-63-7023-01	6.269	0	0.7429	1.395	0.6681	1.545	1.504	1.724	0	1.608	1.598	0
TCGA-24-2281-01	TCGA-24-2281-01	6.245	0.4022	6.233	7.188	5.947	7.356	7.331	7.615	1.581	7.471	6.924	0.0788
TCGA-09-1670-01	TCGA-09-1670-01	6.238	0.8861	6.628	7.471	6.122	7.427	7.415	7.595	1.003	7.459	6.754	0.0615
TCGA-25-1324-01	TCGA-25-1324-01	6.235	0.5188	6.102	7.037	5.777	7.539	7.532	7.83	1.435	7.607	6.912	0.2686
TCGA-CD-8534-01	TCGA-CD-8534-01	6.167	1.183	6.337	7.143	5.656	6.973	6.978	7.332	1.546	7.127	6.389	0.2121
TCGA-20-1684-01	TCGA-20-1684-01	6.153	0.7535	6.258	7.195	5.989	7.616	7.591	7.915	0.9844	7.724	7.342	0.0666
