sample	samples	cg02855142	cg06587969	cg05479194	cg18311066	cg21050342	cg02045224	cg15206330	cg13169780	cg02166782	cg17461511	cg26539663	cg12373934	cg25896754	cg14351634	cg16203911	cg00807143	cg05348746	cg04009932	cg02690969	cg22175811	cg08119584	cg02842899	cg07991600	cg25053252	cg06317056	cg06365412	cg13468400	cg12041075	cg18198734	cg02087342	cg10792831	cg16397722	cg22949073
TCGA-CC-A9FU-01	TCGA-CC-A9FU-01	0.7129	0.7204	0.657	0.7868	0.6968	0.6265	0.5783	0.6564	0.6763	0.8198	0.7823	0.8137	0.6422	0.7611	0.7366	0.6299	0.7303	0.7237	0.5725	0.734	0.707	0.7324	0.624	0.5623	0.823	0.8395	0.728	0.6928	0.8148	0.4577	0.8809	0.9213	0.7854
TCGA-CN-5360-01	TCGA-CN-5360-01	0.5593	0.07175	0.06213	0.02797	0.0271	0.03185	0.07911	0.05161	0.08419	0.02294	0.1428	0.04311	0.03694	0.02793	0.02255	0.193	0.03779	0.04474	0.02596	0.04626	0.1399	0.03354	0.04429	0.02301	0.03627	0.8637	0.8461	0.8285	0.852	0.902	0.9626	0.8986	0.6991
TCGA-JV-A75J-01	TCGA-JV-A75J-01	0.4037	0.05462	0.05101	0.01708	0.01863	0.01048	0.02948	0.3284	0.06301	0.02734	0.9808	0.9316	0.7578	0.4673	0.4447	0.2065	0.3089	0.1362	0.03774	0.03911	0.03367	0.02415	0.01865	0.02872	0.2156	0.869	0.8416	0.2516	0.3859	0.0859	0.8912	0.8951	0.4431
TCGA-6A-AB49-01	TCGA-6A-AB49-01	0.3486	0.04621	0.03306	0.01879	0.02402	0.01992	0.039	0.08098	0.03716	0.02738	0.04696	0.04496	0.03708	0.07639	0.07946	0.04616	0.09723	0.05937	0.07348	0.03756	0.03171	0.02936	0.02806	0.0198	0.05555	0.8554	0.8281	0.4169	0.4282	0.2349	0.6383	0.8196	0.6833
TCGA-DX-AB2O-01	TCGA-DX-AB2O-01	0.2886	0.02706	0.02	0.02	0.03719	0.02502	0.03751	0.04911	0.04834	0.02598	0.08275	0.04009	0.02507	0.01964	0.02506	0.04979	0.02751	0.03185	0.02424	0.0231	0.02837	0.02339	0.02535	0.02268	0.03297	0.8648	0.8868	0.8033	0.6798	0.4597	0.8522	0.6751	0.7997
TCGA-DX-A6YV-01	TCGA-DX-A6YV-01	0.2854	0.2364	0.1397	0.145	0.193	0.07594	0.1706	0.356	0.2093	0.3846	0.2493	0.3239	0.1873	0.2936	0.2604	0.1098	0.3435	0.3273	0.3248	0.251	0.2052	0.3033	0.1004	0.2027	0.4073	0.9456	0.8497	0.8964	0.8572	0.5397	0.8451	0.5288	
TCGA-G4-6302-11	TCGA-G4-6302-11	0.2458	0.05227	0.04718	0.02571	0.0413	0.1099	0.06538	0.021	0.04515	0.06397	0.1331	0.06594	0.0316	0.05718	0.04117	0.07955	0.04559	0.05815	0.02147	0.03061	0.0297	0.03713	0.02667	0.02068	0.04254	0.8802	0.8611	0.7737	0.9172	0.7914	0.9292	0.9142	0.7333
TCGA-EL-A3GZ-01	TCGA-EL-A3GZ-01	0.2159	0.02666	0.06366	0.02068	0.0297	0.05178	0.03787	0.03997	0.05228	0.02249	0.1458	0.04866	0.02377	0.01552	0.02631	0.08358	0.03333	0.05188	0.02248	0.0551	0.04483	0.02878	0.05584	0.02236	0.03271	0.8763	0.8446	0.8464	0.9048	0.8751	0.7887	0.9453	0.8883
TCGA-IE-A4EK-01	TCGA-IE-A4EK-01	0.2038	0.164	0.0902	0.1545	0.1097	0.04245	0.123	0.3176	0.1831	0.355	0.208	0.3518	0.1366	0.3492	0.2373	0.06852	0.2579	0.2653	0.2801	0.1918	0.1723	0.2813	0.1264	0.1793	0.418	0.9455	0.8663	0.9233	0.8991	0.6892	0.8566	0.6467	0.4492
TCGA-DU-A76O-01	TCGA-DU-A76O-01	0.1988	0.02875	0.0275	0.0232	0.02758	0.01684	0.0437	0.05967	0.0491	0.02461	0.06903	0.04635	0.02469	0.01692	0.03078	0.06195	0.03164	0.03591	0.0247	0.03371	0.05961	0.02524	0.01868	0.0208	0.04329	0.8454	0.7737	0.8046	0.748	0.929	0.9496	0.8863	0.8238
